,yo,tu,el/ella,nosotros,vosotros,ellos/ellas
348,desaparecí,desapareciste,desapareció,desaparecimos,desaparecisteis,desaparecieron
349,cargué,cargaste,cargó,cargamos,cargasteis,cargaron
350,abarqué,abarcaste,abarcó,abarcamos,abarcasteis,abarcaron
351,abofeteé,abofeteaste,abofeteó,abofeteamos,abofeteasteis,abofetearon
352,borré,borraste,borró,borramos,borrasteis,borraron
353,atendí,atendiste,atendió,atendimos,atendisteis,atendieron
354,abdiqué,abdicaste,abdicó,abdicamos,abdicasteis,abdicaron
355,ocupé,ocupaste,ocupó,ocupamos,ocupasteis,ocuparon
356,guie,guiaste,guio,guiamos,guiasteis,guiaron
357,propuse,propusiste,propuso,propusimos,propusisteis,propusieron
358,abastecí,abasteciste,abasteció,abastecimos,abastecisteis,abastecieron
359,tosí,tosiste,tosió,tosimos,tosisteis,tosieron
360,aterricé,aterrizaste,aterrizó,aterrizamos,aterrizasteis,aterrizaron
361,definí,definiste,definió,definimos,definisteis,definieron
362,califiqué,calificaste,calificó,calificamos,calificasteis,calificaron
363,describí,describiste,describió,describimos,describisteis,describieron
364,dependí,dependiste,dependió,dependimos,dependisteis,dependieron
365,xerocopié,xerocopiaste,xerocopió,xerocopiamos,xerocopiasteis,xerocopiaron
366,deletreé,deletreaste,deletreó,deletreamos,deletreasteis,deletrearon
367,opuse,opusiste,opuso,opusimos,opusisteis,opusieron
368,cabalgué,cabalgaste,cabalgó,cabalgamos,cabalgasteis,cabalgaron
369,aproveché,aprovechaste,aprovechó,aprovechamos,aprovechasteis,aprovecharon
370,golpeé,golpeaste,golpeó,golpeamos,golpeasteis,golpearon
371,alcancé,alcanzaste,alcanzó,alcanzamos,alcanzasteis,alcanzaron
372,beneficié,beneficiaste,benefició,beneficiamos,beneficiasteis,beneficiaron
373,cepillé,cepillaste,cepilló,cepillamos,cepillasteis,cepillaron
374,goberné,gobernaste,gobernó,gobernamos,gobernasteis,gobernaron
375,mordí,mordiste,mordió,mordimos,mordisteis,mordieron
376,aboné,abonaste,abonó,abonamos,abonasteis,abonaron
377,sembré,sembraste,sembró,sembramos,sembrasteis,sembraron
378,transferí,transferiste,transfirió,transferimos,transferisteis,transfirieron
379,coloqué,colocaste,colocó,colocamos,colocasteis,colocaron
380,coloqué,colocaste,colocó,colocamos,colocasteis,colocaron
381,juzgué,juzgaste,juzgó,juzgamos,juzgasteis,juzgaron
382,prohibí,prohibiste,prohibió,prohibimos,prohibisteis,prohibieron
383,detuve,detuviste,detuvo,detuvimos,detuvisteis,detuvieron
384,publiqué,publicaste,publicó,publicamos,publicasteis,publicaron
385,malgasté,malgastaste,malgastó,malgastamos,malgastasteis,malgastaron
386,madrugué,madrugaste,madrugó,madrugamos,madrugasteis,madrugaron
387,enamoré,enamoraste,enamoró,enamoramos,enamorasteis,enamoraron
388,regalé,regalaste,regaló,regalamos,regalasteis,regalaron
389,imaginé,imaginaste,imaginó,imaginamos,imaginasteis,imaginaron
390,mejoré,mejoraste,mejoró,mejoramos,mejorasteis,mejoraron
391,padecí,padeciste,padeció,padecimos,padecisteis,padecieron
392,fasciné,fascinaste,fascinó,fascinamos,fascinasteis,fascinaron
393,adquirí,adquiriste,adquirió,adquirimos,adquiristeis,adquirieron
394,zampé,zampaste,zampó,zampamos,zampasteis,zamparon
395,abominé,abominaste,abominó,abominamos,abominasteis,abominaron
396,juré,juraste,juró,juramos,jurasteis,juraron
397,dudé,dudaste,dudó,dudamos,dudasteis,dudaron
398,perseguí,perseguiste,persiguió,perseguimos,perseguisteis,persiguieron
399,maquillé,maquillaste,maquilló,maquillamos,maquillasteis,maquillaron
400,bauticé,bautizaste,bautizó,bautizamos,bautizasteis,bautizaron
401,jubilé,jubilaste,jubiló,jubilamos,jubilasteis,jubilaron
402,rechacé,rechazaste,rechazó,rechazamos,rechazasteis,rechazaron
403,introduje,introdujiste,introdujo,introdujimos,introdujisteis,introdujeron
404,bienquise,bienquisiste,bienquiso,bienquisimos,bienquisisteis,bienquisieron
