,yo,tu,el/ella,nosotros,vosotros,ellos/ellas
114,desayunara o desayunase,desayunaras o desayunases,desayunara o desayunase,desayunáramos o desayunásemos,desayunarais o desayunaseis,desayunaran o desayunasen
115,ofreciera u ofreciese,ofrecieras u ofrecieses,ofreciera u ofreciese,ofreciéramos u ofreciésemos,ofrecierais u ofrecieseis,ofrecieran u ofreciesen
116,rompiera o rompiese,rompieras o rompieses,rompiera o rompiese,rompiéramos o rompiésemos,rompierais o rompieseis,rompieran o rompiesen
117,hackeara o hackease,hackearas o hackeases,hackeara o hackease,hackeáramos o hackeásemos,hackearais o hackeaseis,hackearan o hackeasen
118,devolviera o devolviese,devolvieras o devolvieses,devolviera o devolviese,devolviéramos o devolviésemos,devolvierais o devolvieseis,devolvieran o devolviesen
119,cubriera o cubriese,cubrieras o cubrieses,cubriera o cubriese,cubriéramos o cubriésemos,cubrierais o cubrieseis,cubrieran o cubriesen
120,oliera u oliese,olieras u olieses,oliera u oliese,oliéramos u oliésemos,olierais u olieseis,olieran u oliesen
121,mantuviera o mantuviese,mantuvieras o mantuvieses,mantuviera o mantuviese,mantuviéramos o mantuviésemos,mantuvierais o mantuvieseis,mantuvieran o mantuviesen
122,mandara o mandase,mandaras o mandases,mandara o mandase,mandáramos o mandásemos,mandarais o mandaseis,mandaran o mandasen
123,construyera o construyese,construyeras o construyeses,construyera o construyese,construyéramos o construyésemos,construyerais o construyeseis,construyeran o construyesen
124,naciera o naciese,nacieras o nacieses,naciera o naciese,naciéramos o naciésemos,nacierais o nacieseis,nacieran o naciesen
125,comprendiera o comprendiese,comprendieras o comprendieses,comprendiera o comprendiese,comprendiéramos o comprendiésemos,comprendierais o comprendieseis,comprendieran o comprendiesen
126,permitiera o permitiese,permitieras o permitieses,permitiera o permitiese,permitiéramos o permitiésemos,permitierais o permitieseis,permitieran o permitiesen
127,olvidara u olvidase,olvidaras u olvidases,olvidara u olvidase,olvidáramos u olvidásemos,olvidarais u olvidaseis,olvidaran u olvidasen
128,abanderara o abanderase,abanderaras o abanderases,abanderara o abanderase,abanderáramos o abanderásemos,abanderarais o abanderaseis,abanderaran o abanderasen
129,recomendara o recomendase,recomendaras o recomendases,recomendara o recomendase,recomendáramos o recomendásemos,recomendarais o recomendaseis,recomendaran o recomendasen
130,asistiera o asistiese,asistieras o asistieses,asistiera o asistiese,asistiéramos o asistiésemos,asistierais o asistieseis,asistieran o asistiesen
131,costara o costase,costaras o costases,costara o costase,costáramos o costásemos,costarais o costaseis,costaran o costasen
132,enviara o enviase,enviaras o enviases,enviara o enviase,enviáramos o enviásemos,enviarais o enviaseis,enviaran o enviasen
133,preparara o preparase,prepararas o preparases,preparara o preparase,preparáramos o preparásemos,prepararais o preparaseis,prepararan o preparasen
134,cocinara o cocinase,cocinaras o cocinases,cocinara o cocinase,cocináramos o cocinásemos,cocinarais o cocinaseis,cocinaran o cocinasen
135,compartiera o compartiese,compartieras o compartieses,compartiera o compartiese,compartiéramos o compartiésemos,compartierais o compartieseis,compartieran o compartiesen
136,preguntara o preguntase,preguntaras o preguntases,preguntara o preguntase,preguntáramos o preguntásemos,preguntarais o preguntaseis,preguntaran o preguntasen
137,cuidara o cuidase,cuidaras o cuidases,cuidara o cuidase,cuidáramos o cuidásemos,cuidarais o cuidaseis,cuidaran o cuidasen
138,resolviera o resolviese,resolvieras o resolvieses,resolviera o resolviese,resolviéramos o resolviésemos,resolvierais o resolvieseis,resolvieran o resolviesen
139,callara o callase,callaras o callases,callara o callase,calláramos o callásemos,callarais o callaseis,callaran o callasen
140,recogiera o recogiese,recogieras o recogieses,recogiera o recogiese,recogiéramos o recogiésemos,recogierais o recogieseis,recogieran o recogiesen
141,mostrara o mostrase,mostraras o mostrases,mostrara o mostrase,mostráramos o mostrásemos,mostrarais o mostraseis,mostraran o mostrasen
142,helara o helase,helaras o helases,helara o helase,heláramos o helásemos,helarais o helaseis,helaran o helasen
143,rogara o rogase,rogaras o rogases,rogara o rogase,rogáramos o rogásemos,rogarais o rogaseis,rogaran o rogasen
144,creciera o creciese,crecieras o crecieses,creciera o creciese,creciéramos o creciésemos,crecierais o crecieseis,crecieran o creciesen
145,hinchiera o hinchiese,hinchieras o hinchieses,hinchiera o hinchiese,hinchiéramos o hinchiésemos,hinchierais o hinchieseis,hinchieran o hinchiesen
146,habituara o habituase,habituaras o habituases,habituara o habituase,habituáramos o habituásemos,habituarais o habituaseis,habituaran o habituasen
147,amara o amase,amaras o amases,amara o amase,amáramos o amásemos,amarais o amaseis,amaran o amasen
148,sonara o sonase,sonaras o sonases,sonara o sonase,sonáramos o sonásemos,sonarais o sonaseis,sonaran o sonasen
149,escogiera o escogiese,escogieras o escogieses,escogiera o escogiese,escogiéramos o escogiésemos,escogierais o escogieseis,escogieran o escogiesen
150,doliera o doliese,dolieras o dolieses,doliera o doliese,doliéramos o doliésemos,dolierais o dolieseis,dolieran o doliesen
151,exigiera o exigiese,exigieras o exigieses,exigiera o exigiese,exigiéramos o exigiésemos,exigierais o exigieseis,exigieran o exigiesen
152,entrara o entrase,entraras o entrases,entrara o entrase,entráramos o entrásemos,entrarais o entraseis,entraran o entrasen
153,volara o volase,volaras o volases,volara o volase,voláramos o volásemos,volarais o volaseis,volaran o volasen
154,explicara o explicase,explicaras o explicases,explicara o explicase,explicáramos o explicásemos,explicarais o explicaseis,explicaran o explicasen
155,destruyera o destruyese,destruyeras o destruyeses,destruyera o destruyese,destruyéramos o destruyésemos,destruyerais o destruyeseis,destruyeran o destruyesen
156,navegara o navegase,navegaras o navegases,navegara o navegase,navegáramos o navegásemos,navegarais o navegaseis,navegaran o navegasen
157,llorara o llorase,lloraras o llorases,llorara o llorase,lloráramos o llorásemos,llorarais o lloraseis,lloraran o llorasen
158,valiera o valiese,valieras o valieses,valiera o valiese,valiéramos o valiésemos,valierais o valieseis,valieran o valiesen
159,apagara o apagase,apagaras o apagases,apagara o apagase,apagáramos o apagásemos,apagarais o apagaseis,apagaran o apagasen
160,probara o probase,probaras o probases,probara o probase,probáramos o probásemos,probarais o probaseis,probaran o probasen
161,halagara o halagase,halagaras o halagases,halagara o halagase,halagáramos o halagásemos,halagarais o halagaseis,halagaran o halagasen
162,manejara o manejase,manejaras o manejases,manejara o manejase,manejáramos o manejásemos,manejarais o manejaseis,manejaran o manejasen
163,cortara o cortase,cortaras o cortases,cortara o cortase,cortáramos o cortásemos,cortarais o cortaseis,cortaran o cortasen
164,obtuviera u obtuviese,obtuvieras u obtuvieses,obtuviera u obtuviese,obtuviéramos u obtuviésemos,obtuvierais u obtuvieseis,obtuvieran u obtuviesen
165,gozara o gozase,gozaras o gozases,gozara o gozase,gozáramos o gozásemos,gozarais o gozaseis,gozaran o gozasen
166,hartara o hartase,hartaras o hartases,hartara o hartase,hartáramos o hartásemos,hartarais o hartaseis,hartaran o hartasen
167,sufriera o sufriese,sufrieras o sufrieses,sufriera o sufriese,sufriéramos o sufriésemos,sufrierais o sufrieseis,sufrieran o sufriesen
168,incluyera o incluyese,incluyeras o incluyeses,incluyera o incluyese,incluyéramos o incluyésemos,incluyerais o incluyeseis,incluyeran o incluyesen
169,habilitara o habilitase,habilitaras o habilitases,habilitara o habilitase,habilitáramos o habilitásemos,habilitarais o habilitaseis,habilitaran o habilitasen
170,aburriera o aburriese,aburrieras o aburrieses,aburriera o aburriese,aburriéramos o aburriésemos,aburrierais o aburrieseis,aburrieran o aburriesen
171,habitara o habitase,habitaras o habitases,habitara o habitase,habitáramos o habitásemos,habitarais o habitaseis,habitaran o habitasen
172,echara o echase,echaras o echases,echara o echase,echáramos o echásemos,echarais o echaseis,echaran o echasen
173,regresara o regresase,regresaras o regresases,regresara o regresase,regresáramos o regresásemos,regresarais o regresaseis,regresaran o regresasen
174,corrigiera o corrigiese,corrigieras o corrigieses,corrigiera o corrigiese,corrigiéramos o corrigiésemos,corrigierais o corrigieseis,corrigieran o corrigiesen
175,prestara o prestase,prestaras o prestases,prestara o prestase,prestáramos o prestásemos,prestarais o prestaseis,prestaran o prestasen
176,barriera o barriese,barrieras o barrieses,barriera o barriese,barriéramos o barriésemos,barrierais o barrieseis,barrieran o barriesen
177,hacendara o hacendase,hacendaras o hacendases,hacendara o hacendase,hacendáramos o hacendásemos,hacendarais o hacendaseis,hacendaran o hacendasen
