,yo,tu,el/ella,nosotros,vosotros,ellos/ellas
205,creaba,creabas,creaba,creábamos,creabais,creaban
206,discutía,discutías,discutía,discutíamos,discutíais,discutían
207,aceptaba,aceptabas,aceptaba,aceptábamos,aceptabais,aceptaban
208,descubría,descubrías,descubría,descubríamos,descubríais,descubrían
209,gastaba,gastabas,gastaba,gastábamos,gastabais,gastaban
210,dirigía,dirigías,dirigía,dirigíamos,dirigíais,dirigían
211,abrazaba,abrazabas,abrazaba,abrazábamos,abrazabais,abrazaban
212,yacía,yacías,yacía,yacíamos,yacíais,yacían
213,paraba,parabas,paraba,parábamos,parabais,paraban
214,obedecía,obedecías,obedecía,obedecíamos,obedecíais,obedecían
215,disfrutaba,disfrutabas,disfrutaba,disfrutábamos,disfrutabais,disfrutaban
216,negaba,negabas,negaba,negábamos,negabais,negaban
217,interesaba,interesabas,interesaba,interesábamos,interesabais,interesaban
218,trataba,tratabas,trataba,tratábamos,tratabais,trataban
219,protegía,protegías,protegía,protegíamos,protegíais,protegían
220,cumplía,cumplías,cumplía,cumplíamos,cumplíais,cumplían
221,abandonaba,abandonabas,abandonaba,abandonábamos,abandonabais,abandonaban
222,medía,medías,medía,medíamos,medíais,medían
223,nevaba,nevabas,nevaba,nevábamos,nevabais,nevaban
224,cansaba,cansabas,cansaba,cansábamos,cansabais,cansaban
225,sacudía,sacudías,sacudía,sacudíamos,sacudíais,sacudían
226,invertía,invertías,invertía,invertíamos,invertíais,invertían
227,me arrepentía,te arrepentías,se arrepentía,nos arrepentíamos,os arrepentíais,se arrepentían
228,fijaba,fijabas,fijaba,fijábamos,fijabais,fijaban
229,duchaba,duchabas,duchaba,duchábamos,duchabais,duchaban
230,encantaba,encantabas,encantaba,encantábamos,encantabais,encantaban
231,firmaba,firmabas,firmaba,firmábamos,firmabais,firmaban
232,sofreía,sofreías,sofreía,sofreíamos,sofreíais,sofreían
233,besaba,besabas,besaba,besábamos,besabais,besaban
234,contribuía,contribuías,contribuía,contribuíamos,contribuíais,contribuían
235,mezclaba,mezclabas,mezclaba,mezclábamos,mezclabais,mezclaban
236,llenaba,llenabas,llenaba,llenábamos,llenabais,llenaban
237,regaba,regabas,regaba,regábamos,regabais,regaban
238,bendecía,bendecías,bendecía,bendecíamos,bendecíais,bendecían
239,acordaba,acordabas,acordaba,acordábamos,acordabais,acordaban
240,utilizaba,utilizabas,utilizaba,utilizábamos,utilizabais,utilizaban
241,reciclaba,reciclabas,reciclaba,reciclábamos,reciclabais,reciclaban
242,ahorraba,ahorrabas,ahorraba,ahorrábamos,ahorrabais,ahorraban
243,respondía,respondías,respondía,respondíamos,respondíais,respondían
